"","youtube","facebook","newspaper","sales"
"85",116.75,151.16,59.47,836.0751
"86",168.59,127.91,51.77,845.1485
"87",151.24,129.64,142.36,840.9183
"88",161.33,176.74,93.69,991.4154
"89",145.85,236.06,103.23,1140.59
"90",129.52,217.4,88.9,1041.4557
"91",137.17,188.93,114.23,973.5898
"92",151.87,189.8,126.52,996.9325
"93",138.11,214.45,143.01,1061.9141
"94",167.83,182.27,133.53,1026.1827
"95",94.85,129.23,59.28,714.0127
"96",135.11,170.74,114.02,934.5084
"97",112.37,149.16,96.05,816.1481
"98",161.84,234.23,68.37,1141.2499
"99",198.89,152.79,107.64,996.062
"100",169.21,155.46,134.11,954.2026
"101",160.46,172.69,143.41,995.7367
"102",147.76,143.75,124.55,894.0036
"103",121.43,177.36,104.58,903.6976
"104",150.6,143.78,59.71,906.7426
"105",113.62,152.62,62.73,845.6224
"106",163.33,194.47,78.56,1064.962
"107",191.05,174.8,121.68,1072.913
"108",169.71,169.18,133.43,983.0711
"109",164.15,167.45,88.76,951.3846
"110",146.38,153.81,148.02,918.8626
"111",151.65,241.17,63.79,1149.9182
"112",161.75,138.72,97.57,895.0838
"113",168.91,139.76,112.61,896.7372
"114",108.57,133.86,127.13,759.8641
"115",205.91,196.75,101.38,1126.236
"116",163.55,129.76,122,865.2776
"117",157.78,116.64,138.61,837.8007
"118",212.29,181.67,86.68,1095.4647
"119",182.64,175.54,62.69,998.3166
"120",116.06,189.99,90.72,949.5834
"121",141.09,200.6,53.11,1030.8173
"122",123.99,161.24,102.11,865.1047
"123",146.3,193.08,95.72,1009.0051
"124",81.35,174.74,60.06,874.5008
"125",164.09,158.35,143.66,951.3339
"126",149.53,200.64,110.5,1019.4393
"127",119.59,140.76,82.75,816.0833
"128",157.54,209.71,86.17,1065.1021
"129",171.75,171.49,142.03,1002.8298
"130",156.05,138.28,139.29,882.8088
"131",69.3,200.74,145.27,901.6549
"132",124.69,130.07,67.25,802.5247
"133",152.97,123.21,120.69,841.7747
"134",95.14,175.08,139.13,871.7043
"135",135.17,139.99,85.27,832.4317
"136",177.15,134.05,148.55,891.1531
"137",139.91,248.48,94.73,1144.6406
"138",141.45,180.7,74.64,950.1789
"139",168.14,116.85,86.83,843.3946
"140",148.14,187.12,58.37,1007.1282
"141",112.57,226.62,71.1,1051.4176
"142",157.2,230.8,58.08,1107.4708
"143",124.6,259.12,75.91,1108.7567
"144",159.25,131.85,99.47,879.356
"145",101.72,131.88,90.59,736.9868
"146",175.81,226.98,132.04,1155.658
"147",198.48,160.2,100.03,1020.2945
"148",144.74,178.02,77.1,969.6295
"149",166.18,231.62,85.33,1127.6531
"150",115.45,162.18,59.16,889.4368
"151",185.86,182.32,87.02,1066.9071
"152",144.72,140.25,138.23,861.4133
"153",59.59,117.3,56.76,618.9748
"154",150.52,184.69,126.52,968.5809
"155",153.8,146.38,51.98,877.1224
"156",132.6,221.54,118.22,1064.6781
"157",125.15,183.67,98.12,941.8134
"158",131.11,175.35,90.99,931.4852
"159",124.28,85.9,73.98,653.9037
"160",158.8,153.92,127.83,914.6542
"161",144.85,120.07,141.27,804.6096
"162",183.82,86.7,55.57,778.7202
"163",199.2,158.31,65.05,1000.3383
"164",179.2,257.93,56.9,1256.2542
"165",121.26,180.42,102.65,918.3826
"166",171.6,228.43,129.88,1147.0796
"167",145.62,128.85,96.59,836.0811
"168",154.64,211.04,62.77,1068.4162
"169",178.27,119.02,132.02,883.4456
"170",189.76,128.56,54.65,914.184
"171",85.37,194.74,133.73,891.2631
"172",157.99,158.37,91.54,939.652
"173",145.74,148.3,79.59,863.7876
"174",160.55,181.54,144.51,993.4357
"175",168.39,199.59,117.58,1066.1687
"176",181.81,195.55,99.24,1093.8423
"177",90.68,143.97,106.66,766.9297
"178",161.08,205.99,54.28,1086.4163
"179",132.06,114.71,56.75,742.7653
"180",156.17,245.83,91.25,1157.7276
"181",159.45,128.15,75.44,871.6679
"182",102.53,177.71,57.8,876.7132
"183",129.35,135.4,104,813.1302
"184",177.46,198.43,63.98,1074.1501
"185",161.6,149.95,129.95,951.2336
"186",171.17,186.73,110.81,1045.6111
"187",162.11,104.68,75.22,788.7881
"188",184.82,286.86,88.35,1344.6358
"189",155.59,215.29,100.86,1112.9552
"190",182.44,156.61,94.51,1001.253
"191",173.75,154.54,122.69,934.6806
"192",135.98,162.44,99.58,916.5146
"193",157.28,190.08,54.88,1045.2025
"194",161.96,241.37,58.63,1153.6824
"195",127.64,167.62,88.38,902.4414
"196",176.49,252.28,146.54,1205.6415
"197",114.67,119.26,144.33,760.318
"198",112.3,155.23,85.05,854.8456
"199",130.24,101.32,64.27,722.4827
"200",145.63,175.39,93.75,966.1562
